accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.8094482,0.6021729,0.1253662,-9.94873,2.075195,-2.319336
0.815918,0.6184082,0.2087402,-1.342773,-16.47949,0.9155272
0.8620605,0.5830078,0.06311035,-0.1831055,-16.05225,3.90625
0.8101807,0.5869141,0.2294922,-13.06152,6.408691,16.17432
0.7600098,0.5808105,0.3098145,-3.601074,-2.868652,7.141113
0.7841797,0.6282959,0.2255859,12.08496,7.385253,12.87842
0.7336426,0.6202393,0.1762695,8.728027,7.141113,21.85058
0.7602539,0.6048584,0.1015625,25.63476,-13.00049,1.342773
0.8031006,0.6308594,-0.1405029,-1.220703,-9.82666,-3.356933
0.8505859,0.6860352,-0.04370117,-19.77539,-40.1001,-2.502441
0.8925781,0.65979,0.01318359,-40.58838,17.94434,19.83643
0.7236328,0.4869385,0.4084473,-29.84619,24.35303,22.76611
0.8129883,0.4405518,0.3601074,22.3999,-6.713867,6.591796
1.18103,0.4359131,-0.175415,-54.26025,28.25928,-53.58886
break
0.8007813,0.6480713,-0.01379395,-4.760742,-3.051758,-2.319336
0.8171387,0.5684814,0.1005859,-11.35254,-10.37598,-0.4882812
0.8614502,0.6253662,0.07556152,-15.07568,-8.300781,3.479004
0.8278809,0.5233154,0.2137451,-14.52637,-2.563476,7.568359
0.8347168,0.6223145,0.2133789,-2.380371,-3.173828,13.00049
0.7867432,0.5471191,0.2347412,9.094238,8.483887,15.25879
0.7445068,0.5581055,0.1981201,25.39062,17.57813,13.24463
0.7143555,0.6184082,0.1556396,27.64892,-13.06152,4.577637
0.7686768,0.675293,-0.2467041,20.87402,-23.25439,-7.629394
0.7879639,0.6280518,0.03503418,-43.27392,2.746582,-5.92041
0.8450928,0.7150879,0.07727051,-38.39111,-33.81348,1.831055
0.8195801,0.6131592,0.1357422,-23.31543,-10.80322,5.126953
0.7926025,0.4603271,0.3619385,-8.117676,9.82666,14.83154
0.8347168,0.5441895,0.1015625,29.29687,-11.41357,6.896972
1.131836,0.434082,-0.1826172,-31.49414,31.18896,-21.1792
break
0.8972168,0.7250977,-0.1131592,-22.15576,6.774902,-5.859375
0.7987061,0.552124,0.1333008,-22.09472,-4.821777,9.765625
0.9041748,0.532959,-0.006591797,-17.08984,-4.394531,5.676269
0.8267822,0.5894775,0.2045898,-13.67187,7.263183,7.690429
0.8498535,0.5313721,0.1732178,0.1831055,-5.432128,10.92529
0.8087158,0.5783691,0.1827393,11.1084,14.83154,11.84082
0.7724609,0.5905762,0.1820068,27.52685,12.69531,3.234863
0.7658691,0.6745605,-0.06604004,17.57813,0.2441406,4.882813
0.8126221,0.6983643,-0.2637939,-4.882813,-3.601074,-4.02832
0.7838135,0.6228027,-0.002563477,-23.98681,-16.90674,-6.469726
0.8945313,0.6638184,-0.0559082,-16.8457,-33.99658,6.286621
0.8726807,0.5585938,0.08532715,-33.75244,7.324218,12.87842
0.7954102,0.4230957,0.362793,10.43701,9.521484,8.789063
1.125732,0.5860596,-0.2214355,-6.896972,24.59717,-24.53613
break
0.8626709,0.5615234,0.03759766,-21.1792,5.676269,9.094238
0.876709,0.4619141,0.121582,-4.455566,-9.338379,3.784179
0.8505859,0.5997314,0.1802979,-0.1831055,3.601074,9.82666
0.8218994,0.6784668,0.1634521,12.02392,5.371093,15.625
0.6931152,0.5552979,0.1046143,20.50781,20.1416,10.13183
0.7250977,0.6444092,-0.1794434,33.02002,-16.6626,-14.03808
0.7615967,0.7263184,-0.260498,-21.1792,1.953125,-2.380371
0.7886963,0.6630859,0.02697754,-23.25439,-27.09961,0.7324218
0.8696289,0.5675049,-0.05212402,-40.64941,-25.32959,14.09912
0.8132324,0.5880127,0.1398926,-27.22168,12.51221,14.77051
0.8599854,0.3996582,0.1824951,25.8789,-5.92041,7.629394
0.9376221,0.6185303,-0.1813965,43.09082,1.281738,-10.49805
break
0.8911133,0.6361084,0.1153564,-18.24951,-1.831055,5.798339
0.8869629,0.4685059,0.1022949,-12.93945,-9.887695,7.080078
0.8747559,0.4660645,0.2614746,-2.319336,4.516602,7.873535
0.8513184,0.512207,0.2634277,12.69531,5.615234,12.87842
0.8123779,0.5633545,0.2186279,34.729,13.91601,14.77051
0.7789307,0.6157227,-0.08483887,32.83691,-16.60156,0.1220703
0.824707,0.6763916,-0.2644043,-9.887695,-2.563476,-7.263183
0.7645264,0.5585938,0.1616211,-48.03466,6.408691,-2.075195
0.8530273,0.6191406,0.1032715,-26.85547,-41.07666,-0.6713867
