accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.7813721,0.5167236,0.4593506,0.7324218,-5.981445,5.310058
0.7716064,0.4985352,0.4082031,5.126953,-13.97705,1.098633
0.7701416,0.583252,0.3150635,10.74219,-9.216309,4.333496
0.7714844,0.5450439,0.3455811,7.690429,-1.342773,9.338379
0.760376,0.5595703,0.338623,10.55908,-1.037598,-0.9155272
0.7854004,0.5814209,0.3338623,11.77978,-1.708984,-0.6103516
0.8098145,0.5078125,0.2592773,3.295898,-6.896972,-4.882813
0.8624268,0.5251465,0.2473145,-8.300781,-4.943848,-2.01416
0.8470459,0.4549561,0.253418,-10.31494,-0.6713867,-2.502441
0.8317871,0.5407715,0.3336182,-11.84082,5.004883,1.770019
0.8048096,0.427124,0.4039307,-9.399414,15.13672,3.417969
0.7757568,0.5706787,0.4204102,-2.929687,3.173828,13.24463
0.7817383,0.465332,0.3955078,1.831055,8.117676,15.13672
0.8527832,0.5462646,0.3352051,7.507324,16.60156,9.216309
break
0.8011475,0.4575195,0.3288574,-2.075195,10.68115,6.774902
0.802002,0.5036621,0.2768555,-1.464844,0.6103516,-4.089355
0.8531494,0.5799561,0.244751,-6.16455,2.929687,-3.479004
0.8363037,0.4219971,0.3071289,-8.789063,-16.54053,-8.728027
0.8823242,0.5166016,0.2148438,-4.882813,-11.71875,-3.479004
0.9139404,0.3898926,0.2744141,-21.1792,-3.540039,4.394531
0.8803711,0.3608398,0.3834229,0.0,-0.6103516,11.2915
0.8433838,0.3582764,0.4163818,2.929687,-9.887695,4.577637
0.8400879,0.5245361,0.3128662,13.61084,3.601074,17.21191
0.7874756,0.4803467,0.369751,-3.967285,15.44189,14.52637
break
0.8991699,0.3657227,0.1889648,-4.089355,13.12256,4.02832
0.9152832,0.3237305,0.1428223,-3.723144,8.117676,-11.2915
0.9398193,0.3881836,0.1467285,-0.9765624,-3.295898,-13.3667
0.9844971,0.3580322,0.005981445,-11.90185,-11.1084,-20.38574
1.010742,0.348999,0.1112061,-20.20263,2.380371,4.394531
