accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.8967285,0.4332275,0.1516113,8.361816,-8.605957,2.380371
0.7585449,0.7164307,0.07788086,0.9765624,1.281738,7.324218
0.7609863,0.4855957,0.2189941,6.103515,-24.59717,-5.798339
0.8359375,0.7192383,0.105957,2.868652,-32.2876,3.845215
0.8686523,0.6190186,0.08642578,-9.094238,-9.277344,14.28223
0.7996826,0.569458,0.2935791,-9.887695,15.86914,15.13672
0.7244873,0.5484619,0.4035645,1.403808,17.82227,17.51709
0.723877,0.628418,0.2585449,26.42822,-6.652832,13.24463
0.7272949,0.6777344,-0.2264404,33.02002,-31.12793,-7.446289
0.8388672,0.6768799,-0.1501465,-11.59668,-19.28711,-15.13672
0.9006348,0.6405029,0.1807861,-26.7334,-6.652832,13.5498
0.838623,0.4151611,0.2354736,-19.59229,-0.4882812,12.75635
0.8421631,0.536499,0.2860107,7.690429,3.051758,15.13672
0.8117676,0.5682373,0.1827393,-1.89209,11.23047,21.05713
0.7890625,0.5870361,0.09472656,-1.831055,22.52197,17.21191
0.7858887,0.5821533,0.0006103516,-11.2915,1.525879,-8.972168
0.9779053,0.4077148,0.03601074,-2.441406,-21.24023,-45.04394
break
0.8858643,0.5168457,0.1485596,-28.07617,18.73779,12.87842
0.8052979,0.5167236,0.3914795,4.577637,13.00049,13.97705
0.7354736,0.5872803,0.0592041,33.02002,2.13623,7.263183
0.7166748,0.6254883,-0.2158203,35.88867,-27.9541,-16.90674
0.8356934,0.6708984,-0.1523438,-16.54053,-18.43262,-6.591796
0.90979,0.5354004,0.04638672,-25.26855,-6.652832,6.591796
0.8754883,0.447876,0.2078857,-25.8789,-0.2441406,-1.403808
0.8554688,0.55896,0.2828369,-3.295898,4.455566,3.540039
0.8356934,0.6417236,0.1557617,-0.4882812,27.03857,12.3291
0.7454834,0.5380859,0.215332,10.25391,33.26416,10.55908
0.7697754,0.6973877,-0.1524658,4.760742,-7.629394,3.723144
break
0.8789063,0.4707031,0.1539307,-19.59229,-8.666992,10.43701
0.8881836,0.5743408,0.2382813,-14.22119,9.460449,10.49805
0.8111572,0.5106201,0.4019775,0.793457,23.01025,20.56885
0.7037354,0.5332031,0.2539063,26.24512,6.774902,8.056641
0.729126,0.7178955,-0.2921143,33.44727,-23.86474,-8.239746
0.8328857,0.708252,-0.2404785,-13.18359,-1.770019,-21.3623
0.8311768,0.5009766,0.2462158,-16.41846,-41.87011,3.479004
0.9681396,0.4307861,0.08679199,-28.13721,0.5493164,8.789063
0.8942871,0.4742432,0.3665771,-5.92041,3.967285,1.586914
0.8433838,0.6118164,0.2231445,14.16016,6.408691,18.00537
0.8262939,0.5917969,-0.05505371,2.502441,38.87939,20.56885
0.7366943,0.5257568,0.1074219,-21.85058,23.74267,4.333496
break
0.9293213,0.6573486,-0.1958008,-30.76172,0.427246,1.525879
0.9118652,0.3901367,0.1156006,-35.09521,-19.9585,8.117676
0.8448486,0.5366211,0.1357422,-20.62988,3.173828,3.601074
0.835083,0.592041,0.2740479,0.06103515,3.417969,-2.075195
0.7054443,0.6212158,0.2541504,12.02392,16.60156,4.821777
0.6629639,0.7084961,-0.0925293,28.13721,-4.089355,1.342773
0.8364258,0.6790771,-0.6030273,2.441406,-16.29639,-11.71875
0.8763428,0.6091309,0.06188965,-25.75683,-24.96338,6.408691
0.8841553,0.4373779,0.002929688,-23.74267,-24.53613,4.699707
0.8575439,0.572998,0.2845459,-6.652832,2.563476,-2.319336
0.8452148,0.6240234,0.229248,5.737304,-0.9765624,8.361816
0.7473145,0.5759277,0.06274414,5.004883,22.46094,7.507324
0.7570801,0.7434082,-0.1348877,3.845215,18.37158,0.9765624
break
0.8813477,0.5673828,0.02392578,-17.45605,-14.64844,12.57324
0.8547363,0.5554199,0.1585693,-12.87842,-6.225585,11.90185
0.8347168,0.5981445,0.2324219,1.159668,14.4043,17.08984
0.684082,0.5305176,0.3426514,20.20263,21.72851,9.338379
0.6757813,0.6888428,-0.2296143,41.87011,-41.13769,-6.469726
0.7756348,0.6394043,-0.1584473,-7.202148,-21.54541,-9.94873
0.9483643,0.5847168,0.006225586,-26.85547,-15.07568,13.91601
0.8503418,0.3400879,0.2896729,-14.03808,-8.178711,6.347656
0.8991699,0.6166992,0.1895752,9.094238,2.929687,2.258301
0.7905273,0.6444092,0.1734619,4.638672,31.31103,14.70947
0.7419434,0.6472168,-0.01538086,15.13672,14.70947,9.58252
0.8088379,0.631958,-0.2811279,-4.943848,7.873535,-3.417969
0.8843994,0.4656982,-0.09936523,-15.625,-4.760742,-29.1748
break
0.9188232,0.3830566,0.2260742,-12.26807,-8.300781,16.8457
0.8978271,0.4725342,0.2052002,-10.80322,24.78027,14.28223
0.7432861,0.4967041,0.4173584,11.47461,19.77539,8.178711
0.8389893,0.5727539,-0.3721924,-21.05713,-0.9765624,-18.06641
0.9344482,0.5466309,0.06542969,-10.92529,-44.7998,4.150391
0.9158936,0.2791748,0.03918457,-24.16992,-16.54053,5.798339
0.9154053,0.5339355,0.2678223,-20.01953,7.141113,0.4882812
0.8822021,0.5084229,0.2454834,6.286621,12.63428,13.79394
0.7454834,0.5405273,0.1895752,13.3667,31.61621,17.39502
0.7883301,0.6895752,-0.2706299,16.96777,-19.16504,-2.319336
break
0.9122314,0.4100342,0.1259766,-19.53125,12.146,7.324218
0.8824463,0.600708,0.2623291,-5.493164,13.67187,9.70459
0.7532959,0.5986328,0.2113037,18.49365,17.63916,5.615234
0.6219482,0.5869141,-0.170166,35.33936,-16.8457,-16.6626
0.8684082,0.803833,-0.4111328,-34.48486,6.408691,-14.5874
0.8721924,0.4918213,0.1140137,-12.3291,-47.36328,10.31494
0.9696045,0.4440918,0.04907227,-21.24023,3.173828,1.037598
0.8813477,0.4993896,0.368042,-4.211426,4.272461,5.004883
0.8948975,0.604248,0.078125,11.65771,14.28223,11.90185
0.7805176,0.6068115,0.06225586,-1.953125,39.30664,17.8833
0.6821289,0.6558838,-0.08959961,-0.3662109,0.9765624,-0.6713867
break
0.9212646,0.4776611,0.09240723,-14.34326,1.098633,2.563476
0.9019775,0.5330811,0.1306152,-5.92041,16.60156,8.056641
0.7609863,0.5272217,0.2371826,4.211426,29.29687,7.690429
0.6607666,0.6774902,-0.1314697,29.1748,-12.87842,-11.65771
0.7485352,0.8475342,-0.3292236,-47.97363,10.37598,-12.02392
0.8869629,0.645874,0.06213379,-14.28223,-28.56445,-7.93457
0.9360352,0.543457,-0.001220703,-13.3667,-7.446289,14.77051
0.8867188,0.4763184,0.2421875,16.29639,-10.19287,-5.859375
0.8903809,0.6065674,0.0559082,21.66748,-6.103515,10.00977
0.8410645,0.6337891,0.05187988,13.12256,26.55029,16.72363
0.6920166,0.6101074,0.06872559,13.73291,24.78027,8.728027
