accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.7966309,0.5866699,0.2355957,2.990722,-2.746582,3.845215
0.828125,0.5839844,0.2593994,0.9155272,-1.708984,10.00977
0.8265381,0.5183105,0.2347412,0.2441406,10.43701,14.22119
0.8265381,0.4473877,0.3498535,3.967285,8.972168,14.22119
0.8378906,0.5632324,0.2332764,6.713867,-1.525879,12.26807
0.8260498,0.6240234,0.1619873,7.568359,-5.004883,13.61084
0.802124,0.6585693,0.1352539,-6.225585,-0.3662109,16.72363
0.7540283,0.5892334,0.248291,-5.737304,-21.05713,4.150391
0.7202148,0.6140137,0.1143799,7.263183,-42.78564,-15.01465
0.8371582,0.7241211,0.1734619,-6.896972,-17.82227,-14.34326
0.7901611,0.49646,0.3618164,8.666992,-4.089355,-4.150391
0.8754883,0.5102539,0.2091064,10.19287,9.94873,-7.263183
0.9111328,0.5428467,0.2579346,10.00977,27.16064,14.70947
0.8248291,0.4177246,0.1036377,11.84082,-2.563476,9.155273
0.9522705,0.5031738,-0.1499023,0.4882812,3.479004,-20.44678
break
0.8334961,0.5302734,0.2076416,4.333496,1.831055,8.056641
0.8630371,0.6245117,0.06018066,-6.408691,9.277344,17.21191
0.7442627,0.578125,0.1773682,-6.652832,9.033203,22.27783
0.7491455,0.6811523,0.07678223,-4.882813,-22.27783,13.5498
0.7016602,0.7338867,-0.008178711,-15.13672,-28.25928,5.981445
0.7608643,0.6922607,0.02124023,-14.16016,-25.8789,-16.05225
0.770752,0.5769043,0.3515625,4.638672,-11.1084,-5.187988
0.852417,0.4927979,0.1713867,12.69531,1.708984,-2.624511
0.9807129,0.4445801,0.3276367,7.873535,20.20263,1.953125
0.9060059,0.4506836,0.08605957,20.62988,19.104,13.97705
0.8312988,0.5476074,-0.03259277,11.2915,7.141113,-0.2441406
0.796875,0.5998535,-0.09387207,9.338379,-5.615234,-2.502441
0.9875488,0.3392334,-0.05871582,-17.15088,0.6713867,-61.40136
break
0.8863525,0.5648193,-0.08300781,-4.882813,8.239746,18.55469
0.8240967,0.6341553,0.04064941,-20.1416,7.873535,22.76611
0.744751,0.6715088,0.008422852,-1.159668,-25.14648,4.02832
0.6647949,0.7069092,-0.02416992,-3.601074,-33.87451,-9.460449
0.8321533,0.6939697,0.1051025,-10.80322,-10.37598,-18.79883
0.859375,0.4797363,0.2331543,6.469726,7.019042,-4.455566
0.9364014,0.4195557,0.1824951,15.50293,14.22119,-7.324218
0.9090576,0.4122314,0.1226807,23.37646,23.13232,2.380371
0.8901367,0.5472412,-0.09399414,19.83643,8.117676,3.173828
0.8548584,0.6497803,-0.2213135,-0.9155272,3.295898,4.699707
1.07019,0.3354492,-0.1053467,-26.36719,21.85058,-40.77148
break
0.9050293,0.5072021,-0.1307373,-8.789063,7.93457,7.873535
0.7978516,0.6383057,-0.01831055,-10.55908,5.126953,11.71875
0.6967773,0.6717529,0.03625488,0.4882812,-24.84131,-0.6713867
0.7960205,0.736084,-0.09265137,-14.03808,-19.71436,-14.4043
0.7722168,0.5479736,0.3395996,-13.42773,0.2441406,-7.629394
0.9421387,0.5058594,0.2128906,8.666992,4.272461,-6.225585
0.8837891,0.4187012,0.2290039,21.85058,20.62988,-7.141113
0.8820801,0.491333,0.0390625,24.71924,8.728027,-5.371093
0.8626709,0.5864258,-0.2241211,11.65771,-4.821777,-2.13623
1.036865,0.4530029,-0.2336426,-36.31592,23.92578,-48.95019
break
0.8555908,0.494873,-0.05847168,-9.216309,10.86426,18.24951
0.8022461,0.6376953,-0.02783203,-3.90625,-6.530761,14.16016
0.7114258,0.6520996,0.01550293,-16.90674,-12.69531,18.31055
