accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.8044434,0.4665527,0.1743164,8.544922,0.2441406,-5.798339
0.7818604,0.6782227,0.1606445,17.27295,-7.995605,-0.793457
0.7435303,0.6546631,0.1938477,18.73779,-13.12256,4.455566
0.7098389,0.6953125,0.1375732,-4.577637,11.35254,14.28223
0.6829834,0.6915283,0.2717285,6.225585,8.789063,11.90185
0.7243652,0.6455078,0.02246094,45.77636,-21.42334,0.6713867
0.8299561,0.7232666,-0.1473389,14.52637,-31.31103,-3.90625
0.8911133,0.5466309,0.03564453,-11.04736,-22.70508,8.666992
0.8898926,0.4967041,0.06970215,-17.8833,-8.728027,10.0708
0.8594971,0.6544189,0.1795654,-22.3999,11.35254,12.93945
0.8457031,0.5891113,0.3031006,-9.033203,19.9585,23.92578
0.755127,0.4848633,0.2457275,21.78955,16.05225,18.85986
0.6658936,0.6362305,-0.04907227,46.08154,-30.70068,-6.04248
0.6707764,0.8225098,-0.2038574,-4.211426,-25.57373,-4.760742
0.7077637,0.6347656,0.07067871,-1.159668,-16.8457,-21.48437
0.8240967,0.7060547,0.15979,10.86426,-13.91601,-9.765625
0.8699951,0.5804443,0.1204834,3.784179,13.48877,-5.798339
0.8918457,0.5960693,0.04406738,18.61572,6.896972,-0.9155272
1.087036,0.3974609,-0.2247314,-14.77051,-8.483887,-21.3623
0.6518555,0.7391357,-0.01794434,-42.23632,-7.141113,-74.8291
break
0.6967773,0.7557373,-0.1431885,11.47461,-19.104,-7.507324
0.8461914,0.6348877,-0.234375,-18.06641,-26.06201,-0.5493164
0.9178467,0.647583,0.1175537,-28.44238,3.356933,8.239746
0.8723145,0.5158691,0.2746582,-6.713867,8.972168,13.48877
0.9055176,0.6062012,0.1723633,8.361816,33.99658,17.21191
0.6982422,0.5806885,0.293457,9.643555,24.16992,20.99609
0.6373291,0.7565918,-0.3675537,21.60644,-31.73828,5.371093
0.6124268,0.7969971,-0.2635498,-24.04785,-14.34326,-2.075195
0.6246338,0.6516113,0.18396,-21.42334,-19.47021,-20.50781
0.7785645,0.7026367,0.1657715,1.525879,-2.990722,-7.141113
0.8618164,0.5633545,0.177124,10.98633,31.73828,-6.591796
0.8338623,0.5834961,0.1693115,26.9165,16.72363,5.859375
break
0.7805176,0.7767334,-0.2739258,8.666992,-21.05713,-10.74219
0.8726807,0.5517578,-0.1676025,-25.81787,-23.19336,-1.281738
0.9399414,0.5292969,0.1176758,-24.04785,-11.35254,4.394531
0.902832,0.453125,0.1168213,-3.723144,4.638672,7.202148
0.8763428,0.6506348,0.2357178,-0.06103515,33.56934,22.3999
0.7794189,0.5772705,0.2967529,8.300781,33.93555,26.7334
0.7155762,0.6760254,-0.04199219,31.18896,-10.80322,9.765625
0.6811523,0.7619629,-0.2302246,-13.67187,-10.74219,-1.953125
0.6394043,0.7176514,0.03137207,-21.30127,-29.54101,-12.39014
0.694458,0.7224121,0.1879883,-1.647949,-32.53174,-16.72363
0.8756104,0.5593262,0.1998291,8.789063,14.22119,-16.54053
0.8431396,0.5411377,0.2657471,14.4043,22.94922,-6.958007
0.8220215,0.5632324,-0.008666992,35.40039,1.89209,-6.530761
1.062134,0.4554443,-0.2495117,-10.86426,-9.765625,-46.32568
break
0.8204346,0.7583008,-0.2648926,-14.09912,-25.81787,-4.882813
0.8999023,0.5480957,-0.0559082,-30.15137,-16.41846,4.394531
0.9627686,0.4665527,0.1173096,-9.155273,-3.479004,9.58252
0.94104,0.5323486,0.1280518,-0.2441406,30.45654,20.01953
0.7747803,0.524292,0.3173828,0.1831055,37.47559,25.45166
0.7103271,0.6080322,0.08093262,42.11425,-9.521484,12.63428
0.6809082,0.7932129,-0.3609619,-13.73291,-18.37158,-6.958007
0.6773682,0.7717285,0.05847168,-15.8081,-22.09472,-16.17432
0.7419434,0.7064209,0.2355957,7.751464,-13.24463,-11.65771
0.8637695,0.5073242,0.1055908,-6.835937,14.4043,-16.23535
0.8494873,0.6011963,0.2233887,14.77051,28.56445,-6.469726
0.8713379,0.59021,-0.1921387,38.81836,-17.08984,-7.141113
break
0.7293701,0.7399902,-0.1853027,-13.61084,-14.16016,-7.385253
0.9812012,0.6290283,-0.2102051,-24.4751,-19.22607,-3.90625
0.8843994,0.4685059,0.1513672,-17.51709,-8.239746,6.225585
0.9372559,0.6618652,0.0859375,-5.126953,5.92041,7.8125
0.8118896,0.5661621,0.1751709,0.06103515,44.25048,31.92138
0.6807861,0.5775146,0.0982666,46.69189,-9.338379,11.77978
0.668457,0.8745117,-0.4614258,-3.356933,-8.728027,8.178711
0.5949707,0.6811523,-0.05456543,-20.44678,-17.82227,-4.516602
0.7052002,0.722168,0.1295166,-2.13623,-21.05713,-18.79883
0.8867188,0.5845947,0.008422852,-3.540039,3.051758,-20.20263
0.9382324,0.5997314,0.1901855,13.61084,17.33398,-5.432128
1.030396,0.6014404,-0.4759521,-22.82715,1.159668,-9.155273
break
0.8243408,0.6810303,-0.3128662,-22.3999,-22.09472,-7.507324
0.9375,0.5133057,-0.01013184,-37.10938,-7.751464,5.004883
0.9005127,0.4702148,0.2143555,-6.469726,5.554199,13.24463
0.9536133,0.6416016,0.1268311,12.87842,24.10888,20.20263
0.7818604,0.4732666,0.2825928,13.06152,40.52734,26.79443
0.6746826,0.7155762,-0.2539063,27.52685,-29.47998,-0.2441406
0.6297607,0.8276367,-0.2670898,-21.1792,-17.33398,-3.479004
0.6658936,0.7164307,0.1478271,-22.52197,-17.8833,-17.45605
0.7558594,0.5037842,0.359375,6.774902,-10.37598,-24.4751
0.8826904,0.7075195,0.1732178,15.31982,22.09472,-15.31982
0.8797607,0.5133057,0.01086426,15.8081,24.71924,-0.7324218
0.9510498,0.6085205,-0.3270264,8.911133,-13.85498,-6.347656
0.7073975,0.6890869,-0.04333496,-30.94482,-11.16943,-46.20361
break
0.8614502,0.5722656,-0.1876221,-32.53174,-21.30127,0.793457
0.9061279,0.4581299,0.2435303,-19.04297,-4.211426,6.774902
0.9162598,0.5401611,0.1541748,9.82666,4.821777,12.08496
0.9310303,0.6424561,0.08093262,12.146,39.24561,26.18408
0.6427002,0.4584961,0.3197021,30.57861,-0.2441406,20.01953
0.6524658,0.8790283,-0.4605713,13.18359,-31.55517,0.3051758
0.6245117,0.6911621,-0.1081543,-31.31103,-16.29639,-8.300781
0.6872559,0.7592773,0.210083,-10.43701,-17.51709,-13.79394
0.802002,0.4935303,0.08984375,-3.295898,-2.441406,-23.49853
0.9510498,0.6702881,0.1542969,18.79883,13.85498,-6.469726
0.8831787,0.536377,0.03991699,-7.446289,45.65429,20.75195
break
0.7434082,0.725708,-0.3419189,-16.23535,-12.51221,-2.807617
0.8864746,0.5020752,-0.1556396,-38.0249,-23.55957,-3.417969
0.9681396,0.5147705,0.05883789,-24.96338,1.342773,10.00977
0.9178467,0.4589844,0.1968994,4.211426,3.845215,2.868652
0.8988037,0.6553955,0.1208496,13.5498,35.09521,25.02441
0.7020264,0.4569092,0.239502,33.3252,18.9209,22.3999
0.704834,0.7678223,-0.4036865,10.98633,-16.11328,2.319336
0.6358643,0.7364502,0.01159668,-25.75683,-16.47949,-1.831055
0.7078857,0.7502441,0.1751709,-5.676269,-22.33887,-20.26367
0.7905273,0.6844482,0.1043701,-7.93457,2.197266,-13.91601
0.895874,0.5898438,0.2198486,11.77978,20.56885,-9.82666
0.9190674,0.583252,-0.133667,17.7002,12.63428,7.751464
break
0.9433594,0.6448975,-0.2667236,-35.33936,-16.17432,8.361816
0.9666748,0.3619385,0.1248779,-22.33887,-5.432128,13.61084
0.9555664,0.5936279,0.1573486,10.98633,12.20703,12.75635
0.8006592,0.5463867,0.2446289,8.789063,46.38671,29.41894
0.652832,0.5889893,0.08081055,45.10498,-13.12256,9.277344
0.6992188,0.8985596,-0.5018311,-19.9585,-7.080078,1.037598
0.6157227,0.7050781,0.1861572,-30.82275,-17.82227,-17.27295
0.7896729,0.7495117,0.1590576,1.281738,-16.8457,-16.05225
0.8830566,0.4465332,0.1437988,-22.3999,24.78027,-24.23096
0.9265137,0.7658691,0.03393555,40.58838,6.530761,4.760742
0.9464111,0.4388428,-0.2756348,0.8544921,-1.647949,-0.5493164
break
0.8198242,0.5852051,-0.2158203,-27.34375,-22.52197,-5.371093
0.9880371,0.574585,-0.04968262,-37.65869,-13.24463,5.249023
0.8771973,0.3967285,0.371582,-16.54053,21.78955,18.67676
0.8640137,0.5852051,0.2352295,27.58789,38.51318,13.3667
0.7044678,0.5736084,0.2403564,40.40527,8.361816,15.01465
0.7207031,0.7305908,-0.4073486,-19.59229,-4.211426,4.455566
0.6428223,0.6947021,0.05895996,-40.40527,-16.35742,-7.080078
0.5927734,0.7047119,0.2874756,-13.30566,-22.88818,-14.83154
0.7591553,0.6655273,0.2303467,10.98633,-15.50293,-14.09912
0.8134766,0.4781494,0.1818848,11.71875,15.86914,-18.61572
0.9656982,0.7072754,0.002929688,19.28711,17.57813,5.676269
0.8551025,0.4445801,-0.1086426,-7.324218,23.01025,1.037598
break
0.963501,0.5731201,-0.104126,-32.4707,-20.20263,2.990722
0.9842529,0.4240723,0.1699219,-9.70459,-0.7324218,15.25879
0.9516602,0.532959,0.1411133,4.272461,17.76123,20.38574
0.7866211,0.5489502,0.2167969,0.9765624,54.74853,34.66797
0.6309814,0.6445313,-0.02819824,31.61621,-13.67187,12.45117
0.6314697,0.8585205,-0.3214111,-40.95459,-9.70459,0.1831055
0.6619873,0.6846924,0.1914063,-13.61084,-28.38135,-18.31055
0.8291016,0.6463623,0.1727295,3.723144,-8.666992,-14.34326
0.8974609,0.4567871,0.3959961,-1.220703,23.37646,-14.64844
break
0.9559326,0.6188965,-0.1639404,-33.69141,-13.91601,-0.8544921
0.9215088,0.3012695,0.1887207,-23.07129,-13.97705,7.751464
0.9622803,0.6156006,0.1671143,-2.990722,11.2915,5.859375
0.8221436,0.5007324,0.2572021,-8.056641,35.7666,30.02929
0.8087158,0.5541992,0.1646729,22.21679,20.93506,21.24023
0.7092285,0.6191406,-0.1778564,15.31982,-9.82666,5.187988
0.6505127,0.7194824,-0.1029053,-22.64404,-18.31055,-8.483887
0.7574463,0.7263184,0.1658936,-4.211426,-26.30615,-14.5874
0.7886963,0.5648193,0.1967773,2.441406,-8.117676,-12.26807
0.9343262,0.6112061,0.171875,10.00977,26.97754,-9.033203
0.8508301,0.4095459,0.1912842,11.65771,20.62988,7.629394
1.010376,0.4884033,-0.3579102,-22.46094,6.652832,-25.26855
break
0.7047119,0.6958008,-0.1342773,-12.87842,-6.774902,-9.94873
0.9239502,0.5845947,-0.1074219,-30.02929,-22.15576,-10.49805
0.9641113,0.4724121,0.07983398,-18.24951,-18.12744,6.04248
0.9698486,0.5355225,0.1481934,-1.464844,14.70947,6.958007
0.8516846,0.5489502,0.2434082,5.004883,38.14697,23.55957
0.7342529,0.5285645,0.100708,30.45654,0.06103515,18.31055
0.7648926,0.7010498,-0.237793,-3.540039,0.6103516,13.18359
0.654541,0.6646729,0.001098633,-31.55517,-10.68115,7.263183
0.7115479,0.6848145,0.07336426,-16.29639,-18.85986,-22.82715
0.7478027,0.644043,0.2949219,-12.02392,-11.47461,-15.25879
0.9273682,0.510498,0.1776123,12.75635,8.056641,-16.17432
1.010864,0.5709229,0.1113281,4.394531,40.16113,8.239746
break
0.8765869,0.6549072,-0.2015381,-21.72851,-24.78027,-4.516602
0.9448242,0.4572754,0.2437744,-21.60644,11.23047,7.324218
0.9163818,0.456543,0.2446289,14.70947,-5.126953,7.873535
0.9564209,0.6361084,-0.04528809,4.943848,29.78515,26.42822
0.6733398,0.4967041,0.1287842,27.58789,-9.643555,11.84082
0.7403564,0.767334,-0.3266602,-9.765625,-12.51221,7.995605
0.6940918,0.5877686,-0.0291748,-27.22168,-14.16016,-2.990722
0.8239746,0.7984619,0.03942871,-10.43701,-12.75635,-16.35742
0.9073486,0.4584961,0.2473145,-8.789063,24.10888,-6.103515
0.9367676,0.4637451,0.3106689,30.94482,10.0708,-15.07568
0.8411865,0.4793701,-0.07458496,12.87842,30.33447,10.98633
1.002319,0.5002441,-0.3994141,-5.615234,-27.28271,-32.89795
0.814209,0.8499756,-0.00378418,-46.14257,-0.9765624,-54.62646
break
0.9630127,0.5797119,-0.07983398,-39.73389,1.037598,-6.713867
0.9346924,0.3840332,0.166626,-5.493164,-13.97705,2.380371
0.9846191,0.626709,0.08081055,-0.4882812,15.50293,10.0708
0.8428955,0.4672852,0.2038574,-1.464844,34.24072,29.54101
0.7463379,0.5587158,0.06408691,28.9917,-15.86914,8.972168
0.7689209,0.7773438,-0.3167725,-18.67676,1.586914,8.239746
0.6248779,0.5421143,0.276123,-22.94922,-13.18359,-6.835937
0.7967529,0.7119141,0.1083984,0.9765624,-20.44678,-15.93017
0.8292236,0.4746094,0.2390137,-0.4882812,0.1831055,-10.37598
0.9550781,0.4422607,0.2174072,17.63916,19.83643,-1.037598
0.8414307,0.4736328,0.1287842,10.37598,31.86035,1.953125
break
0.8774414,0.5578613,-0.3275146,-21.24023,-21.72851,-8.056641
0.9711914,0.5290527,0.1923828,-35.70557,3.479004,3.356933
0.940918,0.3924561,0.1601563,2.929687,0.8544921,8.422852
0.9110107,0.5819092,0.1571045,15.74707,20.75195,21.48437
0.7017822,0.404541,0.2435303,16.78467,8.239746,15.50293
0.8068848,0.7476807,-0.2592773,13.12256,-12.51221,9.155273
0.7108154,0.6157227,-0.0904541,-26.97754,-10.86426,-0.793457
0.7785645,0.6619873,0.09973145,-10.37598,-24.84131,-21.1792
0.8223877,0.512207,0.2545166,-4.577637,-0.3662109,-19.89746
0.8782959,0.5895996,0.1845703,14.22119,11.59668,-22.76611
0.8933105,0.5541992,-0.05993652,5.249023,27.22168,-4.760742
break
0.944458,0.6868896,-0.2116699,-33.14209,-18.49365,0.7324218
0.9669189,0.4023438,0.1311035,-34.42383,1.647949,12.20703
0.9627686,0.4992676,0.2545166,1.342773,10.37598,8.483887
0.7905273,0.5053711,0.2154541,14.64844,47.42431,29.60205
0.6992188,0.7042236,-0.1428223,43.09082,-25.93994,4.394531
0.6965332,0.8337402,-0.2980957,-29.54101,-2.990722,3.723144
0.6657715,0.6800537,0.1877441,-7.263183,-25.8789,-17.82227
0.8260498,0.6104736,0.2000732,-8.850098,2.624511,-8.117676
0.8094482,0.4366455,0.1815186,-12.51221,28.07617,-13.24463
break
0.8408203,0.552002,-0.1732178,-19.40918,-28.01513,-11.2915
0.9484863,0.3381348,0.2719727,-7.385253,7.751464,21.1792
0.892334,0.5882568,0.1428223,18.43262,27.40478,24.10888
0.6899414,0.4835205,0.1856689,32.53174,-3.112793,13.5498
0.6723633,0.807373,-0.324585,-5.981445,-24.6582,-2.197266
0.6696777,0.748291,0.1047363,-24.29199,-14.22119,-17.33398
0.7929688,0.5754395,0.3135986,-2.258301,-2.197266,-15.74707
break
0.8293457,0.534668,-0.0333252,3.662109,15.01465,-14.03808
break
0.7941895,0.6544189,-0.2803955,-8.666992,-23.86474,-11.16943
0.9906006,0.5966797,-0.03271484,-33.20313,-4.333496,5.737304
0.9123535,0.4074707,0.2313232,-3.90625,5.737304,7.324218
0.9683838,0.626709,0.1535645,15.38086,12.93945,24.10888
0.736084,0.4504395,0.1639404,-3.234863,47.36328,33.56934
