accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.8262939,0.6962891,0.04492188,9.643555,-9.94873,4.333496
0.666748,0.7425537,0.1118164,-40.16113,0.4882812,6.408691
0.6817627,0.6483154,0.03796387,-38.63525,-24.04785,2.197266
0.7215576,0.7635498,0.09423828,-20.56885,-15.625,-0.6103516
0.7371826,0.7264404,0.2076416,-38.26904,19.04297,13.67187
0.6851807,0.4735107,0.4696045,-0.3051758,-2.990722,3.540039
0.8023682,0.6516113,0.2335205,10.31494,-21.48437,3.723144
0.8708496,0.6456299,0.04272461,-3.173828,6.286621,28.80859
0.666626,0.6107178,0.2753906,-5.615234,5.126953,22.21679
0.6593018,0.6254883,0.2032471,6.469726,-7.080078,12.51221
0.6196289,0.6502686,0.02453613,8.605957,2.502441,2.441406
0.682373,0.5559082,0.1176758,28.01513,-2.929687,-28.38135
break
0.7270508,0.5428467,0.4992676,-25.08545,18.85986,2.502441
0.8425293,0.7099609,0.1923828,21.11816,-13.91601,12.63428
0.7713623,0.6713867,0.04504395,-2.685547,19.28711,27.34375
0.697998,0.661499,0.1123047,5.92041,-1.281738,21.66748
0.7247314,0.6876221,0.04907227,-14.46533,17.33398,22.52197
0.5710449,0.4829102,0.1994629,1.953125,0.9155272,4.455566
0.9847412,0.3591309,-0.1811523,16.29639,-5.310058,-92.52929
0.5928955,1.054443,0.2171631,-31.79931,-6.530761,-35.64453
break
0.7133789,0.5817871,0.5330811,-19.77539,20.26367,11.04736
0.6982422,0.5661621,0.2794189,19.77539,-18.18848,-9.765625
0.8443604,0.7407227,0.07458496,6.04248,-1.770019,8.972168
0.7259521,0.5599365,0.2441406,-5.92041,9.277344,18.9209
0.802124,0.7126465,0.1361084,5.981445,-1.159668,14.95361
0.6291504,0.6434326,0.1878662,7.446289,3.295898,9.70459
0.7322998,0.6911621,-0.09545898,29.05273,-16.41846,-7.446289
0.7226563,0.6124268,-0.1385498,-41.56494,12.87842,-91.6748
break
0.7252197,0.5571289,0.2918701,-7.751464,-14.83154,2.258301
0.7191162,0.5720215,0.3839111,1.770019,6.347656,5.371093
0.7897949,0.6392822,0.1514893,13.3667,-8.544922,0.5493164
0.8568115,0.6882324,0.02062988,6.835937,6.103515,8.972168
0.8209229,0.6308594,0.1481934,0.427246,10.25391,11.84082
0.7745361,0.7481689,0.04174805,9.765625,-4.272461,8.972168
0.7210693,0.6746826,0.03601074,-6.591796,12.69531,17.08984
0.7021484,0.6186523,0.03527832,14.95361,-7.690429,2.441406
0.7647705,0.5675049,-0.02905273,1.525879,-6.530761,-19.34814
break
0.7641602,0.5147705,0.3994141,2.441406,5.249023,7.629394
0.8674316,0.6008301,0.1467285,29.41894,-5.615234,11.65771
0.7978516,0.5922852,0.1802979,18.43262,17.76123,26.36719
0.8112793,0.6011963,-0.003540039,22.33887,-0.9765624,19.34814
0.7584229,0.6553955,0.006225586,2.197266,10.68115,19.71436
0.7271729,0.6820068,-0.03955078,-4.821777,-0.1220703,13.12256
0.7958984,0.5235596,-0.1490479,3.90625,10.68115,-26.42822
break
0.8034668,0.5969238,0.192749,-7.080078,-0.1831055,3.723144
0.779541,0.5258789,0.1896973,13.85498,-2.441406,-2.319336
0.8902588,0.6870117,0.03259277,16.41846,2.075195,7.690429
0.8289795,0.5054932,0.1125488,-2.13623,14.83154,16.47949
0.7868652,0.5665283,0.0567627,1.098633,0.427246,15.19775
0.7595215,0.6549072,-0.002197266,1.281738,2.258301,10.62012
0.7301025,0.6641846,0.04284668,-2.319336,-0.6103516,8.544922
0.7913818,0.6156006,0.005493164,4.272461,0.4882812,-5.554199
0.8088379,0.4777832,0.03271484,2.563476,5.798339,-35.33936
break
0.7547607,0.5046387,0.2415771,-8.178711,-4.943848,4.760742
0.8210449,0.6260986,0.2077637,9.216309,-0.3051758,1.464844
0.8681641,0.6551514,0.1027832,12.51221,10.43701,17.82227
0.8184814,0.5194092,0.07678223,13.00049,19.28711,12.93945
0.7839355,0.668335,0.02270508,11.84082,7.568359,5.92041
0.7071533,0.6447754,0.02441406,5.554199,-1.831055,6.774902
0.7740479,0.7008057,-0.09350586,-23.37646,8.361816,-6.958007
break
0.8531494,0.5697021,0.1208496,-1.342773,2.01416,1.342773
0.8000488,0.6029053,0.1818848,6.16455,2.868652,2.502441
0.8381348,0.6643066,0.07849121,6.103515,-3.967285,4.02832
0.8598633,0.5983887,0.1568604,8.239746,15.25879,14.5874
0.8251953,0.5935059,0.05480957,13.06152,3.723144,12.20703
0.7797852,0.59375,0.08239746,8.178711,1.831055,8.605957
0.7005615,0.6767578,-0.05126953,4.272461,0.4882812,6.16455
0.7912598,0.5855713,-0.1027832,2.380371,-0.1831055,-15.74707
0.8134766,0.7473145,0.12854,-7.080078,-5.065917,-10.74219
break
