accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.7145996,0.6619873,0.296875,-1.464844,-3.234863,-2.258301
0.755127,0.6887207,0.2786865,-2.624511,-6.16455,1.159668
0.7501221,0.6082764,0.2854004,13.73291,-4.02832,-1.708984
0.7763672,0.7166748,0.223999,10.00977,-5.798339,0.3662109
0.729126,0.7043457,0.2045898,-5.249023,3.051758,8.422852
0.6860352,0.661377,0.2503662,2.441406,0.3051758,2.13623
0.6966553,0.8270264,0.1619873,-11.41357,-8.300781,2.075195
0.6781006,0.637085,0.1756592,-14.16016,-21.91162,-4.150391
0.736084,0.7496338,0.2384033,-25.75683,-9.70459,-1.281738
0.7105713,0.6643066,0.3570557,-18.73779,-12.146,8.239746
0.6605225,0.5544434,0.4034424,10.80322,-2.868652,8.911133
0.699707,0.7098389,0.2686768,20.62988,-8.361816,-0.4882812
0.7155762,0.7557373,0.1422119,13.79394,-7.629394,2.13623
0.770874,0.6501465,0.1014404,5.004883,2.868652,-0.06103515
0.8492432,0.6307373,0.2478027,-2.075195,4.02832,6.16455
0.8076172,0.4289551,0.2337646,4.150391,-1.342773,0.5493164
0.8709717,0.5672607,0.2416992,-2.075195,-2.258301,-0.06103515
0.7908936,0.6203613,0.2174072,-7.202148,-2.990722,16.90674
0.7303467,0.6534424,0.1939697,-2.807617,-2.502441,12.20703
0.6734619,0.6933594,0.2335205,4.760742,-4.089355,11.65771
0.6697998,0.6868896,0.138916,12.81738,3.417969,4.821777
break
0.7479248,0.6004639,0.1964111,8.178711,-11.71875,3.234863
0.8061523,0.7216797,0.02575684,-3.723144,-17.33398,9.033203
0.7081299,0.5552979,0.04064941,-8.300781,-26.55029,-3.540039
0.7930908,0.6972656,0.1107178,-13.79394,-6.408691,-9.521484
0.7501221,0.5744629,0.3837891,-11.65771,7.568359,1.220703
0.7259521,0.522583,0.2680664,19.40918,-5.432128,-14.46533
0.8691406,0.7027588,0.114624,10.19287,-5.065917,-13.06152
0.8521729,0.5584717,0.0826416,7.446289,-6.469726,0.0
0.8919678,0.5128174,0.1055908,8.605957,2.13623,-6.774902
0.8349609,0.5162354,0.1828613,-2.929687,-3.356933,9.277344
0.8486328,0.6329346,0.1212158,-3.967285,2.01416,17.08984
0.7554932,0.6574707,0.1715088,0.793457,4.760742,17.39502
0.708252,0.6398926,0.1342773,5.249023,-6.16455,8.850098
0.8519287,0.5744629,0.002441406,-10.0708,18.73779,-6.16455
break
0.802124,0.6401367,0.1339111,-10.68115,2.13623,13.79394
0.7723389,0.7005615,0.02770996,-3.845215,-12.69531,6.286621
0.7143555,0.5393066,0.2182617,1.770019,-39.0625,-4.150391
0.8052979,0.7597656,-0.1749268,6.04248,-35.21729,-9.643555
0.7729492,0.619751,0.2598877,-26.9165,18.24951,-1.831055
0.7679443,0.4967041,0.2928467,8.239746,-12.63428,-4.272461
0.807251,0.553833,0.137085,17.8833,-1.89209,-15.01465
