accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.78125,0.5662842,0.2266846,8.300781,-4.333496,-0.06103515
0.7943115,0.5760498,0.2194824,4.882813,-7.873535,0.3051758
0.7886963,0.6380615,0.1894531,9.094238,-6.04248,0.4882812
0.7889404,0.5805664,0.1520996,-0.9765624,-4.455566,5.065917
0.7705078,0.6413574,0.1660156,-1.708984,-2.075195,0.9765624
0.7275391,0.5771484,0.1981201,-5.126953,-0.6103516,2.441406
0.7388916,0.5882568,0.1639404,1.586914,-0.8544921,-0.3662109
0.7885742,0.6374512,0.1694336,14.52637,2.01416,-1.831055
break
0.842041,0.5404053,0.2525635,-8.605957,-2.13623,4.638672
0.7971191,0.5684814,0.239624,7.263183,-6.591796,3.662109
0.7965088,0.604126,0.1878662,7.141113,-4.150391,2.746582
0.7559814,0.6765137,0.1972656,0.6713867,-5.310058,4.821777
0.7520752,0.5922852,0.2060547,-1.342773,-1.098633,-3.295898
0.8204346,0.4663086,0.2127686,8.666992,3.845215,-9.521484
break
0.8538818,0.4562988,0.1622314,-6.591796,1.342773,6.04248
0.8254395,0.5623779,0.1766357,-2.258301,-3.723144,2.929687
0.7984619,0.5705566,0.2006836,8.850098,-5.004883,3.173828
0.7816162,0.5566406,0.1655273,7.93457,-9.460449,1.647949
0.8173828,0.6223145,0.1281738,-4.02832,-3.295898,0.9765624
break
0.8393555,0.5080566,0.1757813,8.300781,-8.422852,6.713867
0.8415527,0.5478516,0.1081543,6.591796,-10.55908,5.798339
0.8427734,0.5975342,0.06933594,0.5493164,-1.953125,3.356933
0.786499,0.5563965,0.168335,-11.65771,-0.3662109,5.187988
0.8372803,0.6450195,0.05285645,-52.67334,4.821777,-3.540039
break
0.8503418,0.5692139,0.1647949,0.7324218,-7.385253,4.577637
0.8444824,0.5136719,0.09631348,2.075195,-10.68115,6.286621
0.8289795,0.5349121,0.08374023,-4.394531,-4.699707,2.868652
0.8391113,0.5400391,0.1004639,-8.544922,-1.647949,-2.197266
0.8754883,0.567749,0.0847168,-37.78076,4.02832,-5.187988
break
0.8457031,0.5456543,0.1343994,-7.93457,-6.04248,9.521484
0.8331299,0.5341797,0.1179199,-10.00977,-1.342773,5.126953
0.8358154,0.6031494,0.09936523,-3.601074,-0.7324218,4.089355
0.8041992,0.5678711,0.05932617,-11.1084,4.455566,-5.432128
break
0.8879395,0.4715576,0.125,-1.464844,-7.263183,2.319336
0.822998,0.5617676,0.1156006,-0.9765624,-13.00049,3.051758
0.8477783,0.5610352,0.03137207,-9.58252,-4.455566,2.929687
0.8498535,0.6038818,0.1164551,-15.13672,-2.502441,5.126953
0.8302002,0.5648193,0.04406738,-21.24023,-0.4882812,4.02832
break
0.8657227,0.5220947,0.1646729,-0.1220703,-3.723144,1.281738
0.8450928,0.5023193,0.1105957,-2.441406,-5.615234,5.615234
0.8502197,0.5581055,0.08337402,-8.300781,0.3662109,-2.258301
0.8652344,0.6053467,0.04187012,-27.52685,0.427246,-3.234863
break
0.9003906,0.5153809,0.1036377,0.2441406,-6.835937,-1.159668
0.8249512,0.517334,0.07458496,2.502441,-3.845215,3.601074
0.8533936,0.5712891,0.05065918,-3.662109,-1.586914,0.6103516
0.8365479,0.6813965,0.01037598,-0.7324218,-4.089355,6.835937
0.8276367,0.6033936,0.03076172,-0.4882812,0.6713867,-0.7324218
